round,blockName,Setsize,cueLength,test_ind,test_timeStamp,view_ind,view_timeStamp,1=OldItem,Response,1=correct,viewLoc_index,viewLoc_x,viewLoc_y,viewLoc_row,viewLoc_col,clickLoc_x,clickLoc_y,clickLoc_row,clickLoc_column,Euclidian_distance,imageTypeQuiz,TimeBarLoc_1st,TimeBarLoc_resp,TimeError_RespMinus1stAppear,RT,LapseTimeSinceExpStart,imageID,CanvasHeight,CanvasWidth,curID,curTime,userAgent,windowWidth,windowHeight,screenWidth,screenHeight,duration_ms,d_mTurkID
FIRSTROUNDFULL,Test,50,3000,40,1.65844E+12,31,1.65844E+12,1,SaidOld,1,34,601.4666667,824.92,7,5,486.78125,653.375,6,4,206.3502649,[,62,42.16223727,-19.83776273,147243,295373,10,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,41,1.65844E+12,0,-1,0,SaidNew,1,34,601.4666667,824.92,7,5,-1,-1,-1,-1,-1,[,-1,-1,-1,149981,297408,11,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,42,1.65844E+12,38,1.65844E+12,1,SaidOld,1,17,342.8133333,451.44,4,3,592.78125,334.375,3,5,276.0220527,[,76,36.18002223,-39.81997777,152101,300210,8,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,43,1.65844E+12,0,-1,0,SaidNew,1,17,342.8133333,451.44,4,3,-1,-1,-1,-1,-1,[,-1,-1,-1,154991,302418,37,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,44,1.65844E+12,26,1.65844E+12,1,SaidOld,1,3,97.16,462.44,4,1,132.78125,305.375,3,1,161.0536795,[,52,54.6117118,2.611711803,156830,305218,38,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,45,1.65844E+12,30,1.65844E+12,1,SaidOld,1,46,856.12,578.2666667,5,7,873.78125,557.375,5,7,27.35656206,[,60,46.93184115,-13.06815885,161989,310202,24,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,46,1.65844E+12,8,1.65844E+12,1,SaidOld,1,2,111.16,314.6133333,3,1,83.78125,690.375,6,1,376.7577817,[,16,37.15011116,21.15011116,166572,315063,70,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,47,1.65844E+12,0,-1,0,SaidNew,1,2,111.16,314.6133333,3,1,-1,-1,-1,-1,-1,[,-1,-1,-1,169906,317333,12,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,48,1.65844E+12,0,-1,0,SaidNew,1,2,111.16,314.6133333,3,1,-1,-1,-1,-1,-1,[,-1,-1,-1,171375,318802,79,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,49,1.65844E+12,0,-1,0,SaidNew,1,2,111.16,314.6133333,3,1,-1,-1,-1,-1,-1,[,-1,-1,-1,172933,320361,89,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,50,1.65844E+12,20,1.65844E+12,1,SaidOld,1,17,342.8133333,451.44,4,3,582.78125,453.375,4,5,239.9757181,[,40,39.09028901,-0.909710994,177182,325236,96,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,51,1.65844E+12,49,1.65844E+12,1,SaidOld,1,19,342.8133333,709.0933333,6,3,356.78125,813.375,7,3,105.2129683,[,98,74.49853476,-23.50146524,180645,329788,44,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,52,1.65844E+12,25,1.65844E+12,1,SaidOld,1,18,335.8133333,581.2666667,5,3,230.78125,557.375,5,2,107.7151348,[,50,43.37484842,-6.625151576,185068,333296,90,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,53,1.65844E+12,37,1.65844E+12,1,SaidNew,0,18,335.8133333,581.2666667,5,3,-1,-1,-1,-1,-1,[,74,-1,-1,189624,337051,26,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,54,1.65844E+12,0,-1,0,SaidNew,1,18,335.8133333,581.2666667,5,3,-1,-1,-1,-1,-1,[,-1,-1,-1,191208,338636,56,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,55,1.65844E+12,0,-1,0,SaidNew,1,18,335.8133333,581.2666667,5,3,-1,-1,-1,-1,-1,[,-1,-1,-1,192427,339854,17,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,56,1.65844E+12,0,-1,0,SaidNew,1,18,335.8133333,581.2666667,5,3,-1,-1,-1,-1,-1,[,-1,-1,-1,193845,341272,51,987,987,,,,,,,,,
