XC,YC,,
745.6875,525.046875,,
78.6875,184.046875,,
753.6875,71.046875,,
120.6875,92.046875,,
204.6875,259.046875,,
216.6875,724.046875,,
225.6875,499.046875,,
754.6875,64.046875,,
668.6875,482.046875,,
644.6875,188.046875,,
748.6875,425.046875,,
427.6875,433.046875,,
191.6875,167.046875,,
183.6875,625.046875,,
535.6875,646.046875,,
224.6875,520.046875,,
501.6875,627.046875,,
743.6875,398.046875,,
203.6875,263.046875,,
220.6875,631.046875,,
627.6875,622.046875,,
623.6875,283.046875,,
546.6875,602.046875,,
662.6875,488.046875,,
293.6875,308.046875,,
740.6875,514.046875,,
632.6875,269.046875,,
255.6875,520.046875,,
128.6875,402.046875,,
541.5,147.9736862,,
323.5,524.9736862,,
196.5,586.9736862,,
186.5,503.9736862,,
248.5,480.9736862,,
337.5,511.9736862,,
511.5,146.9736862,,
466.5,483.9736862,,
14.5,6.973686218,,
532.5,165.9736862,,
499.5,330.9736862,,
171.5,502.9736862,,
541.5,157.9736862,,
72.5,491.9736862,,
256.5,517.9736862,,
532.5,48.97368622,,
626.5,433.9736862,,
114.5,607.9736862,,
247.5,349.9736862,,
497.5,488.9736862,,
335.5,153.9736862,,
262.5,407.9736862,,
651.5,346.9736862,,
262.5,243.9736862,,
175.5,76.97368622,,
88.5,245.9736862,,
268.5,204.9736862,,
624.5,52.97368622,,
357.5,434.9736862,,
221.5,212.9736862,,
540.5,73.97368622,,
171.5,300.9736862,,
271.5,187.9736862,,
587.5,505.9736862,,
433.5,448.9736862,,
289.5,424.9736862,,
676.53125,356.75,,
276.53125,357.75,,
687.53125,333.75,,
137.53125,41.75,,
632.53125,244.75,,
660.53125,461.75,,
833.53125,207.75,,
605.53125,494.75,,
659.53125,601.75,,
269.53125,516.75,,
662.53125,225.75,,
773.53125,62.75,,
779.53125,383.75,,
777.53125,363.75,,
476.53125,406.75,,
518.53125,206.75,,
688.53125,96.75,,
294.53125,360.75,,
256.53125,84.75,,
50.53125,487.75,,
920.53125,268.75,,
699.53125,325.75,,
254.53125,505.75,,
689.53125,480.75,,
280.53125,522.75,,
361.53125,366.75,,
259.53125,936.75,,
945.53125,466.75,,
408.53125,343.75,,
819.53125,34.75,,
1107.53125,222.75,,
251.53125,251.75,,
95.53125,520.75,,
83.53125,346.75,,
516.53125,509.75,,
267.53125,201.75,,
663.53125,630.75,,
534.53125,369.75,,
661.53125,241.75,,
699.53125,367.75,,
420.53125,778.75,,
567.53125,483.75,,
668.53125,633.75,,
326.9333191,535.2999954,,
342.9333191,98.29999542,,
69.93331909,72.29999542,,
781.9333191,80.29999542,,
787.9333191,525.2999954,,
685.9333191,59.29999542,,
589.9333191,185.2999954,,
120.9333191,205.2999954,,
797.9333191,192.2999954,,
453.9333191,663.2999954,,
801.9333191,781.2999954,,
54.93331909,301.2999954,,
443.9333191,75.29999542,,
572.9333191,84.29999542,,
797.9333191,538.2999954,,
97.93331909,195.2999954,,
227.9333191,196.2999954,,
577.9333191,311.2999954,,
582.9333191,535.2999954,,
678.9333191,443.2999954,,
684.9333191,190.2999954,,
687.9333191,168.2999954,,
808.9333191,82.29999542,,
476.9333191,86.29999542,,
702.9333191,176.2999954,,
204.9333191,674.2999954,,
695.9333191,310.2999954,,
109.9333191,193.2999954,,
227.9333191,193.2999954,,
597.9333191,203.2999954,,
698.9333191,423.2999954,,
114.9333191,546.2999954,,
203.9333191,93.29999542,,
801.9333191,548.2999954,,
218.9333191,667.2999954,,
685.9333191,189.2999954,,
220.9333191,420.2999954,,
198.9333191,318.2999954,,
657.9333191,322.2999954,,
671.9333191,319.2999954,,
93.93331909,191.2999954,,
80.93331909,319.2999954,,
211.9333191,305.2999954,,
125.9333191,193.2999954,,
312.9333191,546.2999954,,
287.046875,690.75,,
308.046875,585.75,,
344.046875,578.75,,
507.046875,385.75,,
516.046875,483.75,,
283.046875,397.75,,
605.046875,55.75,,
212.046875,708.75,,
406.046875,677.75,,
528.046875,689.75,,
405.046875,165.75,,
277.046875,358.75,,
294.046875,189.75,,
429.046875,371.75,,
516.046875,695.75,,
711.046875,306.75,,
701.046875,353.75,,
535.046875,405.75,,
523.046875,277.75,,
